Tanggal Libur,Keterangan Libur
2023-01-01,Tahun Baru 2023
2023-01-22,Tahun Baru Imlek
2023-02-18,Isra Mikraj Nabi Muhammad SAW
2023-03-22,Hari Suci Nyepi Tahun Baru Saka 1945
2023-04-07,Wafat Isa Al Masih
2023-04-22,Hari Raya Idul Fitri 1444 Hijriah
2023-04-23,Hari Raya Idul Fitri 1444 Hijriah
2023-05-01,Hari Buruh Nasional
2023-05-18,Kenaikan Isa Al Masih
2023-06-01,Hari Lahir Pancasila
2023-06-04,Hari Raya Waisak 2567 BE
2023-06-29,Hari Raya Idul Adha 1444 Hijriyah
2023-07-19,Tahun Baru Islam 1445 Hijriyah
2023-08-17,Hari Kemerdekaan RI
2023-09-28,Maulid Nabi Muhammad SAW
2023-12-25,Hari Raya Natal
2023-01-23,Cuti Bersama Imlek 
2023-03-23,Cuti Bersama Nyepi
2023-04-21,Cuti Bersama Idul Fitri 1444
2023-04-24,Cuti Bersama Idul Fitri 1444
2023-04-25,Cuti Bersama Idul Fitri 1444
2023-04-26,Cuti Bersama Idul Fitri 1444
2023-06-02,Cuti Bersama Hari Raya Waisak
2023-12-26,Cuti Bersama Natal
